,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,loudness,mode,duration_ms,time_signature,artist_name,release_date,song_name,song_name_formatted
42,0.608,0.644,5,0.0314,0.156,0.0,0.124,0.431,99.005,-5.588,1,292853,4,BTS,2020-07-14,Lights,lights
43,0.449,0.491,9,0.029,0.279,0.0,0.0654,0.258,139.923,-6.433,0,245147,4,BTS,2020-07-14,Your eyes tell,your-eyes-tell
44,0.523,0.455,9,0.0632,0.704,0.459,0.135,0.165,136.959,-14.26,0,76507,4,BTS,2020-07-14,OUTRO : The Journey,the-journey
45,0.469,0.87,9,0.342,0.0278,0.0,0.313,0.652,86.622,-4.475,0,171023,4,BTS,2020-02-28,Intro : Persona,intro-persona
46,0.645,0.862,11,0.0965,0.0923,0.0,0.192,0.798,119.991,-4.757,0,229773,4,BTS,2020-02-28,Boy With Luv (Feat. Halsey),boy-with
47,0.638,0.703,7,0.444,0.0104,0.0,0.132,0.261,105.766,-7.874,1,226321,4,BTS,2020-02-28,Make It Right,make-it-right
48,0.608,0.47,8,0.0428,0.226,0.0,0.0963,0.241,81.0,-6.73,1,227275,4,BTS,2020-02-28,Jamais Vu,
49,0.502,0.91,7,0.107,0.04,0.0,0.319,0.588,176.084,-2.769,1,249215,4,BTS,2020-02-28,Dionysus,dionysus
50,0.385,0.798,9,0.483,0.115,0.0,0.181,0.141,149.756,-6.439,0,259821,4,BTS,2020-02-28,Interlude : Shadow,interlude-shadow
51,0.719,0.758,2,0.0851,0.137,0.0,0.129,0.49,147.023,-5.167,0,198261,4,BTS,2020-02-28,Black Swan,black-swan
52,0.781,0.762,10,0.0626,0.0222,0.0,0.121,0.86,110.042,-5.188,0,180221,4,BTS,2020-02-28,Filter,filter
53,0.674,0.64,0,0.0339,0.151,0.0,0.0925,0.664,99.908,-5.139,0,234458,4,BTS,2020-02-28,My Time,my-time
54,0.643,0.667,0,0.152,0.0433,0.0,0.0904,0.485,145.999,-6.993,0,217404,4,BTS,2020-02-28,Louder than bombs,louder-than-bombs
55,0.583,0.817,9,0.0987,0.118,0.0,0.338,0.438,105.936,-5.146,0,246381,4,BTS,2020-02-28,ON,on
56,0.72,0.824,10,0.128,0.0394,0.0,0.0509,0.333,165.998,-5.086,0,225012,4,BTS,2020-02-28,UGH!,
57,0.566,0.548,1,0.0579,0.0802,0.0,0.11,0.196,157.999,-6.456,1,250296,4,BTS,2020-02-28,00:00 (Zero O’Clock),
58,0.589,0.696,11,0.0725,0.017,0.0,0.0808,0.332,134.953,-7.981,1,233266,4,BTS,2020-02-28,Inner Child,inner-child
59,0.55,0.747,1,0.0407,0.0668,0.0,0.0536,0.648,79.98,-5.211,1,199339,4,BTS,2020-02-28,Friends,friends
60,0.703,0.646,6,0.0596,0.0104,0.0,0.191,0.64,141.87,-6.658,1,208590,4,BTS,2020-02-28,Moon,moon
61,0.661,0.84,0,0.116,0.00485,0.0,0.287,0.524,91.457,-4.805,1,237540,4,BTS,2020-02-28,Respect,respect
62,0.526,0.575,9,0.0309,0.225,0.0,0.108,0.19,84.047,-5.215,0,261543,4,BTS,2020-02-28,We are Bulletproof : the Eternal,we-are-bulletproof-the-eternal
63,0.808,0.903,0,0.0958,0.0121,0.000233,0.0993,0.473,116.988,-3.106,1,196199,4,BTS,2020-02-28,Outro : Ego,ego
64,0.591,0.848,9,0.0828,0.137,0.0,0.372,0.386,105.922,-4.397,0,246816,4,BTS,2020-02-28,ON (Feat. Sia),on
65,0.486,0.871,9,0.337,0.0278,0.0,0.313,0.659,85.411,-4.475,0,171023,4,BTS,2020-02-21,Intro : Persona,intro-persona
66,0.645,0.862,11,0.0845,0.0933,0.0,0.193,0.803,119.947,-4.761,0,229773,4,BTS,2020-02-21,Boy With Luv (Feat. Halsey),boy-with
67,0.639,0.706,7,0.448,0.0104,0.0,0.132,0.259,105.782,-7.874,1,226321,4,BTS,2020-02-21,Make It Right,make-it-right
68,0.608,0.47,8,0.0428,0.226,0.0,0.0963,0.241,81.0,-6.73,1,227275,4,BTS,2020-02-21,Jamais Vu,
69,0.502,0.91,7,0.107,0.04,0.0,0.319,0.588,176.084,-2.769,1,249215,4,BTS,2020-02-21,Dionysus,dionysus
70,0.384,0.798,9,0.434,0.115,0.0,0.181,0.146,149.854,-6.439,0,259821,4,BTS,2020-02-21,Interlude : Shadow,interlude-shadow
71,0.719,0.757,2,0.0849,0.137,0.0,0.129,0.489,147.024,-5.167,0,198261,4,BTS,2020-02-21,Black Swan,black-swan
72,0.779,0.762,10,0.0631,0.0224,0.0,0.121,0.859,110.043,-5.188,0,180221,4,BTS,2020-02-21,Filter,filter
73,0.674,0.641,0,0.0339,0.149,0.0,0.0925,0.664,99.91,-5.139,0,234458,4,BTS,2020-02-21,My Time,my-time
74,0.643,0.667,0,0.151,0.0432,0.0,0.0904,0.478,145.999,-6.947,0,217404,4,BTS,2020-02-21,Louder than bombs,louder-than-bombs
75,0.583,0.817,9,0.099,0.118,0.0,0.338,0.437,105.935,-5.146,0,246381,4,BTS,2020-02-21,ON,on
76,0.72,0.824,10,0.128,0.0394,0.0,0.0509,0.333,165.996,-5.086,0,225012,4,BTS,2020-02-21,UGH!,
77,0.56,0.547,1,0.0675,0.0806,0.0,0.11,0.199,157.962,-6.456,1,250296,4,BTS,2020-02-21,00:00 (Zero O’Clock),
78,0.589,0.696,11,0.0725,0.017,0.0,0.0808,0.33,134.953,-7.981,1,233266,4,BTS,2020-02-21,Inner Child,inner-child
79,0.55,0.747,1,0.0407,0.0668,0.0,0.0536,0.649,79.979,-5.211,1,199339,4,BTS,2020-02-21,Friends,friends
80,0.704,0.646,6,0.0596,0.0104,0.0,0.191,0.64,141.87,-6.658,1,208590,4,BTS,2020-02-21,Moon,moon
81,0.661,0.838,0,0.116,0.00491,0.0,0.287,0.526,91.463,-4.806,1,237540,4,BTS,2020-02-21,Respect,respect
82,0.522,0.574,9,0.0317,0.224,0.0,0.108,0.176,84.044,-5.225,0,261543,4,BTS,2020-02-21,We are Bulletproof : the Eternal,we-are-bulletproof-the-eternal
83,0.808,0.903,0,0.0957,0.0121,0.000248,0.0993,0.473,116.988,-3.106,1,196199,4,BTS,2020-02-21,Outro : Ego,ego
